K,seed,germ_band_push,noise_scale,dt,t_final,folder_name
0.00012,13,0.15,1e-05,1e-05,1000.0,K_0.00012_seed_13_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,14,0.1,1e-05,1e-05,1000.0,K_0.00012_seed_14_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,15,0.05,1e-05,1e-05,1000.0,K_0.00012_seed_15_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,16,0.0,1e-05,1e-05,1000.0,K_0.00012_seed_16_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,17,0.0,1e-05,1e-05,1000.0,K_9e-05_seed_17_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,18,0.05,1e-05,1e-05,1000.0,K_9e-05_seed_18_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,19,0.1,1e-05,1e-05,1000.0,K_9e-05_seed_19_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,20,0.15,1e-05,1e-05,1000.0,K_9e-05_seed_20_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,21,0.2,1e-05,1e-05,1000.0,K_9e-05_seed_21_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,22,0.25,1e-05,1e-05,1000.0,K_9e-05_seed_22_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,23,0.3,1e-05,1e-05,1000.0,K_9e-05_seed_23_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,24,0.0,1e-05,1e-05,1000.0,K_8e-05_seed_24_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,25,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_25_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,26,0.4,1e-05,1e-05,1000.0,K_0.00014_seed_26_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,27,0.35,1e-05,1e-05,1000.0,K_0.00014_seed_27_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,28,0.4,1e-05,1e-05,1000.0,K_7e-05_seed_28_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,29,0.35,1e-05,1e-05,1000.0,K_7e-05_seed_29_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,30,0.3,1e-05,1e-05,1000.0,K_7e-05_seed_30_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,31,0.25,1e-05,1e-05,1000.0,K_7e-05_seed_31_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,32,0.2,1e-05,1e-05,1000.0,K_7e-05_seed_32_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,33,0.15,1e-05,1e-05,1000.0,K_7e-05_seed_33_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,34,0.1,1e-05,1e-05,1000.0,K_7e-05_seed_34_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,35,0.05,1e-05,1e-05,1000.0,K_7e-05_seed_35_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,36,0.0,1e-05,1e-05,1000.0,K_7e-05_seed_36_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,37,0.4,1e-05,1e-05,1000.0,K_0.00013_seed_37_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,38,0.35,1e-05,1e-05,1000.0,K_0.00013_seed_38_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,39,0.35,1e-05,1e-05,1000.0,K_9e-05_seed_39_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,40,0.3,1e-05,1e-05,1000.0,K_0.00013_seed_40_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,41,0.2,1e-05,1e-05,1000.0,K_0.00013_seed_41_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,42,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_42_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,43,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_43_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,44,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_44_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,45,0.0,1e-05,1e-05,1000.0,K_0.00014_seed_45_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,46,0.05,1e-05,1e-05,1000.0,K_0.00014_seed_46_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,47,0.1,1e-05,1e-05,1000.0,K_0.00014_seed_47_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,48,0.15,1e-05,1e-05,1000.0,K_0.00014_seed_48_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,49,0.2,1e-05,1e-05,1000.0,K_0.00014_seed_49_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,50,0.25,1e-05,1e-05,1000.0,K_0.00014_seed_50_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,51,0.3,1e-05,1e-05,1000.0,K_0.00014_seed_51_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,52,0.25,1e-05,1e-05,1000.0,K_0.00013_seed_52_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,53,0.4,1e-05,1e-05,1000.0,K_9e-05_seed_53_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,54,0.4,1e-05,1e-05,1000.0,K_0.00012_seed_54_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,55,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_55_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,56,0.3,1e-05,1e-05,1000.0,K_6e-05_seed_56_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,57,0.35,1e-05,1e-05,1000.0,K_6e-05_seed_57_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,58,0.25,1e-05,1e-05,1000.0,K_0.0001_seed_58_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,59,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_59_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,60,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_60_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,61,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_61_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,62,0.25,1e-05,1e-05,1000.0,K_0.00011_seed_62_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,63,0.35,1e-05,1e-05,1000.0,K_0.0001_seed_63_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,64,0.15,1e-05,1e-05,1000.0,K_0.00011_seed_64_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,65,0.1,1e-05,1e-05,1000.0,K_0.00011_seed_65_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,66,0.05,1e-05,1e-05,1000.0,K_0.00011_seed_66_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,67,0.0,1e-05,1e-05,1000.0,K_0.00011_seed_67_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,68,0.0,1e-05,1e-05,1000.0,K_0.0001_seed_68_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,69,0.05,1e-05,1e-05,1000.0,K_0.0001_seed_69_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,70,0.1,1e-05,1e-05,1000.0,K_0.0001_seed_70_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,71,0.15,1e-05,1e-05,1000.0,K_0.0001_seed_71_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,72,0.2,1e-05,1e-05,1000.0,K_0.0001_seed_72_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,73,0.25,1e-05,1e-05,1000.0,K_6e-05_seed_73_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,74,0.2,1e-05,1e-05,1000.0,K_6e-05_seed_74_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,75,0.4,1e-05,1e-05,1000.0,K_6e-05_seed_75_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,76,0.1,1e-05,1e-05,1000.0,K_6e-05_seed_76_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,77,0.4,1e-05,1e-05,1000.0,K_0.0001_seed_77_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,78,0.15,1e-05,1e-05,1000.0,K_6e-05_seed_78_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,79,0.3,1e-05,1e-05,1000.0,K_0.0001_seed_79_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,80,0.05,1e-05,1e-05,1000.0,K_6e-05_seed_80_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,81,0.35,1e-05,1e-05,1000.0,K_0.0001_seed_81_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,82,0.25,1e-05,1e-05,1000.0,K_8e-05_seed_82_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,83,0.2,1e-05,1e-05,1000.0,K_8e-05_seed_83_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,84,0.15,1e-05,1e-05,1000.0,K_8e-05_seed_84_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,85,0.1,1e-05,1e-05,1000.0,K_8e-05_seed_85_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,86,0.05,1e-05,1e-05,1000.0,K_8e-05_seed_86_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,87,0.0,1e-05,1e-05,1000.0,K_8e-05_seed_87_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,88,0.0,1e-05,1e-05,1000.0,K_0.0001_seed_88_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,89,0.05,1e-05,1e-05,1000.0,K_0.0001_seed_89_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,90,0.1,1e-05,1e-05,1000.0,K_0.0001_seed_90_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,91,0.15,1e-05,1e-05,1000.0,K_0.0001_seed_91_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,92,0.2,1e-05,1e-05,1000.0,K_0.0001_seed_92_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,93,0.25,1e-05,1e-05,1000.0,K_0.0001_seed_93_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,94,0.4,1e-05,1e-05,1000.0,K_0.00014_seed_94_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,95,0.4,1e-05,1e-05,1000.0,K_6e-05_seed_95_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,96,0.0,1e-05,1e-05,1000.0,K_0.00014_seed_96_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,97,0.05,1e-05,1e-05,1000.0,K_0.00014_seed_97_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,98,0.1,1e-05,1e-05,1000.0,K_0.00014_seed_98_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,99,0.15,1e-05,1e-05,1000.0,K_0.00014_seed_99_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,100,0.2,1e-05,1e-05,1000.0,K_0.00014_seed_100_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,101,0.25,1e-05,1e-05,1000.0,K_0.00014_seed_101_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,102,0.3,1e-05,1e-05,1000.0,K_0.00014_seed_102_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00014,103,0.35,1e-05,1e-05,1000.0,K_0.00014_seed_103_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,104,0.4,1e-05,1e-05,1000.0,K_0.0001_seed_104_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.0001,105,0.3,1e-05,1e-05,1000.0,K_0.0001_seed_105_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,106,0.05,1e-05,1e-05,1000.0,K_0.00011_seed_106_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,107,0.35,1e-05,1e-05,1000.0,K_6e-05_seed_107_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,108,0.4,1e-05,1e-05,1000.0,K_0.00013_seed_108_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,109,0.35,1e-05,1e-05,1000.0,K_0.00013_seed_109_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,110,0.3,1e-05,1e-05,1000.0,K_0.00013_seed_110_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,111,0.25,1e-05,1e-05,1000.0,K_0.00013_seed_111_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,112,0.2,1e-05,1e-05,1000.0,K_0.00013_seed_112_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,113,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_113_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,114,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_114_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,115,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_115_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,116,0.4,1e-05,1e-05,1000.0,K_7e-05_seed_116_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,117,0.35,1e-05,1e-05,1000.0,K_7e-05_seed_117_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,118,0.3,1e-05,1e-05,1000.0,K_7e-05_seed_118_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,119,0.25,1e-05,1e-05,1000.0,K_7e-05_seed_119_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,120,0.2,1e-05,1e-05,1000.0,K_7e-05_seed_120_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,121,0.15,1e-05,1e-05,1000.0,K_7e-05_seed_121_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,122,0.1,1e-05,1e-05,1000.0,K_7e-05_seed_122_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,123,0.05,1e-05,1e-05,1000.0,K_7e-05_seed_123_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
7e-05,124,0.0,1e-05,1e-05,1000.0,K_7e-05_seed_124_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,125,0.0,1e-05,1e-05,1000.0,K_6e-05_seed_125_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,126,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_126_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,127,0.05,1e-05,1e-05,1000.0,K_6e-05_seed_127_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,128,0.1,1e-05,1e-05,1000.0,K_6e-05_seed_128_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,129,0.15,1e-05,1e-05,1000.0,K_6e-05_seed_129_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,130,0.2,1e-05,1e-05,1000.0,K_6e-05_seed_130_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,131,0.25,1e-05,1e-05,1000.0,K_6e-05_seed_131_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
6e-05,132,0.3,1e-05,1e-05,1000.0,K_6e-05_seed_132_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,133,0.3,1e-05,1e-05,1000.0,K_8e-05_seed_133_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,134,0.35,1e-05,1e-05,1000.0,K_8e-05_seed_134_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
8e-05,135,0.4,1e-05,1e-05,1000.0,K_8e-05_seed_135_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,136,0.15,1e-05,1e-05,1000.0,K_9e-05_seed_136_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,137,0.25,1e-05,1e-05,1000.0,K_0.00012_seed_137_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,138,0.2,1e-05,1e-05,1000.0,K_0.00012_seed_138_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,139,0.15,1e-05,1e-05,1000.0,K_0.00012_seed_139_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,140,0.05,1e-05,1e-05,1000.0,K_0.00012_seed_140_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,141,0.0,1e-05,1e-05,1000.0,K_0.00012_seed_141_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,142,0.0,1e-05,1e-05,1000.0,K_9e-05_seed_142_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,143,0.3,1e-05,1e-05,1000.0,K_0.00012_seed_143_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,144,0.05,1e-05,1e-05,1000.0,K_9e-05_seed_144_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,145,0.0,1e-05,1e-05,1000.0,K_0.00011_seed_145_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,146,0.2,1e-05,1e-05,1000.0,K_9e-05_seed_146_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,147,0.25,1e-05,1e-05,1000.0,K_9e-05_seed_147_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,148,0.3,1e-05,1e-05,1000.0,K_9e-05_seed_148_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,149,0.35,1e-05,1e-05,1000.0,K_9e-05_seed_149_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,150,0.4,1e-05,1e-05,1000.0,K_9e-05_seed_150_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,151,0.1,1e-05,1e-05,1000.0,K_9e-05_seed_151_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,152,0.35,1e-05,1e-05,1000.0,K_0.00012_seed_152_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,153,0.1,1e-05,1e-05,1000.0,K_0.00012_seed_153_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,154,0.15,1e-05,1e-05,1000.0,K_0.00011_seed_154_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00012,155,0.4,1e-05,1e-05,1000.0,K_0.00012_seed_155_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,156,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_156_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,157,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_157_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,158,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_158_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,159,0.25,1e-05,1e-05,1000.0,K_0.00011_seed_159_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,160,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_160_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,161,0.1,1e-05,1e-05,1000.0,K_0.00011_seed_161_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,162,0.0,1e-05,1e-05,1000.0,K_0.00013_seed_162_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,163,0.05,1e-05,1e-05,1000.0,K_0.00013_seed_163_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,164,0.1,1e-05,1e-05,1000.0,K_0.00013_seed_164_germ_band_push_0.1_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,165,0.05,1e-05,1e-05,1000.0,K_0.00011_seed_165_germ_band_push_0.05_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,166,0.2,1e-05,1e-05,1000.0,K_0.00013_seed_166_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,167,0.3,1e-05,1e-05,1000.0,K_0.00013_seed_167_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,168,0.25,1e-05,1e-05,1000.0,K_9e-05_seed_168_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,169,0.15,1e-05,1e-05,1000.0,K_0.00013_seed_169_germ_band_push_0.15_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00013,170,0.25,1e-05,1e-05,1000.0,K_0.00013_seed_170_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,171,0.4,1e-05,1e-05,1000.0,K_0.00011_seed_171_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,172,0.35,1e-05,1e-05,1000.0,K_9e-05_seed_172_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
9e-05,173,0.4,1e-05,1e-05,1000.0,K_9e-05_seed_173_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,174,0.35,1e-05,1e-05,1000.0,K_0.00011_seed_174_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,175,0.3,1e-05,1e-05,1000.0,K_0.00011_seed_175_germ_band_push_0.3_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,176,0.25,1e-05,1e-05,1000.0,K_0.00011_seed_176_germ_band_push_0.25_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
0.00011,177,0.2,1e-05,1e-05,1000.0,K_0.00011_seed_177_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0/
