K,germ_band_push,int_curvature_CF,t_MD,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_CF_bool,add_CF_bool_std,add_CF_bool_max,t_CF,t_CF_std,t_CF_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy_afterMD,t_at_maxBendEnergy_afterMD_std,t_at_maxBendEnergy_afterMD_max,nb_folds_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD_std,nb_folds_at_maxBendEnergy_afterMD_max,avg_depth_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD_std,avg_depth_at_maxBendEnergy_afterMD_max,max_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD_std,max_depth_at_maxBendEnergy_afterMD_max,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_std,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_max,CF_area_of_influence_current_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD_std,CF_area_of_influence_current_at_maxBendEnergy_afterMD_max
0.0001,0.2,1.0,0.0,318.85,187.14201615491456,627,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11357139866457644,0.007986509683411623,0.12277251683636216,0.39234803754301506,0.003315024324599463,0.3968449510814263,0.9182231925670272,0.6928880141469954,1.4728392061225501,0.9176794386543998,0.6925117716776661,1.4725732206262905,151.79999991860745,192.03058936974628,821.9999986410456,1.0,0.0,1,0.018868959761722818,0.005069434569868214,0.029796454547857915,0.19844513348671572,0.028025550574194636,0.25319561664816387,0.05293015897002914,0.12977436793387123,0.39122291412630233,0.05196747082324902,0.1274839265880059,0.3866690969579054
0.0001,0.2,1.0,5.0,319.6,188.7770614968048,638,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.1051703060149454,0.000978994810604017,0.10731670085295703,0.3843942966957675,0.003481814245757484,0.3916431717589933,1.4452234710077518,0.023133917166362795,1.495852318718215,1.4445783802166003,0.02416190477896782,1.494802733743582,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.009531763094546756,0.00042739619319057484,0.010100683774539265,0.13557760301546065,0.003245484569675355,0.14105882966107378,0.2577468610714463,0.014166573202350177,0.2761573511479781,0.2412448134270492,0.012928692689112647,0.26001822734809704
0.0001,0.2,2.0,0.0,322.2,188.96048041295495,634,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.1,0.30779350562554625,2,0.11255543104062782,0.014578047373066243,0.15656706614423174,0.3863571101109484,0.004405918981002971,0.3931006124632271,1.4003479014462052,0.07624364647286777,1.495852318718215,1.400021756037193,0.07739622471706606,1.497239684212566,54.90000000651071,27.686021562136872,120.00000002689012,1.1,0.30779350562554625,2,0.01942496505459964,0.006181810960488287,0.035209587377224384,0.19478241159091259,0.02387284870312126,0.2355348081453274,0.3497993114541057,0.09462073781005054,0.4602622519132969,0.34367914313127607,0.09459064875858918,0.45575995146963105
0.0001,0.2,2.0,5.0,322.0,189.31677713626743,635,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10491090437373692,0.0011477266403047063,0.10748539907902321,0.38349347660317307,0.003349822026093809,0.38976115271478357,1.4475247822673183,0.028820843946475248,1.495852318718215,1.446275123296508,0.028581856225167273,1.4959460643912543,6.299999999930663,1.3416407864490825,11.999999999714875,1.0,0.0,1,0.014831094462151884,0.0022164456101629,0.024118695363257458,0.17088932426303685,0.013097588854044624,0.22565326901713245,0.3336901326371402,0.031234358019508763,0.4602622519132969,0.3178862047932485,0.03434356457818833,0.4589164835588084
0.0001,0.2,5.0,0.0,317.3,192.08772666894183,610,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10480172752191774,0.0008941455232886971,0.10638912702593523,0.38304171907838364,0.003947087976722346,0.38938100291817024,1.4337169147099191,0.02487568502073398,1.495852318718215,1.432518458321454,0.024808418067696635,1.4939631116959506,11.999999999714875,0.0,11.999999999714875,1.0,0.0,1,0.016798817118737982,0.0018830824685003972,0.019063390423485243,0.19022854259983307,0.012039201966921402,0.20416834275695758,0.3624565233817213,0.0332864230389214,0.39122291412630233,0.35751032546619244,0.03442174925331809,0.3897524143596583
0.0001,0.2,5.0,5.0,317.45,191.02286305708623,611,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.10408615432113835,0.0008645992262681302,0.10583336377600254,0.38212775707620966,0.0029670397099268507,0.3866577121261583,1.4337169147099194,0.016861594767049407,1.4498260935268845,1.4325070449701713,0.017051237446020336,1.451979494687622,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.020725801769867533,0.0003214804490481287,0.02147271750573781,0.20113162792947667,0.0014344635686719621,0.20514113427427064,0.4142360267219674,0.0,0.4142360267219672,0.39291777881417345,0.0016820204535560371,0.39637903217802645
0.0001,0.35,0.5,0.0,320.9,186.54219220777964,620,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.45883146774112354,2,0.08591865662936447,0.040670232013832734,0.1311049941924491,0.3088935543526373,0.12926128885241417,0.3995804006344657,0.19906342395250087,0.4880262242575531,1.4728392061225501,0.19954295162247093,0.48917869041766476,1.475537059620121,456.0999994135089,327.21180907759793,999.999998191639,0.9,0.3077935056255462,1,0.015166606263485066,0.0066582091933033586,0.025156324903886796,0.16919385479465476,0.0626525823303683,0.2244315932198885,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.35,0.5,5.0,322.7,189.09204108052776,621,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,2.0,0.0,2,0.09362017134764042,0.006089253596058696,0.11857546654090792,0.35097716501862636,0.007904292688562969,0.3600972706215647,0.0,0.0,0.0,0.0,0.0,0.0,9.299999999817091,6.594255873335776,23.999999999260588,1.25,0.44426165831931935,2,0.020001299129953503,0.015353040903444762,0.053642940027589084,0.1822380485584181,0.04847157848322519,0.283083468542694,0.3751137353093369,0.15027774903688623,0.6903933778699454,0.37172774306536177,0.15594867831251708,0.7006684231407923
0.0001,0.35,1.0,0.0,319.65,188.92529155587846,628,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.5619514869490163,2,0.07758745751034954,0.048752802665989574,0.1325422390764124,0.2707246497568147,0.14514810283852705,0.39968305152233036,0.2255285034375155,0.550879564959863,1.5188654313138796,0.2260509565772526,0.552151279330296,1.5222137862064338,428.6999994771095,344.7240078978688,999.999998191639,0.85,0.36634754853252327,1,0.013357295108004175,0.006643714631248441,0.021174930889362266,0.15363925206188525,0.07023014125846805,0.21399875119175288,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.35,1.0,5.0,318.65,188.55524808115885,629,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,2.0,0.0,2,0.09141182635099672,0.0017092163431322415,0.09544751530567738,0.3517702523395275,0.004240129600882555,0.36182246744622276,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.018604961126218244,0.0004376823393032402,0.019392192678867562,0.19211103395727241,0.0017290738765534193,0.19505957083540548,0.4096334042028344,0.009444382134900132,0.4142360267219672,0.40173605768241794,0.009289882348002767,0.40856021519222047
