K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_MD_bool,add_CF_bool,CF_position,t_CF,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy,nb_folds_at_maxBendEnergy,avg_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy
0.0001,5.0,30,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_5.0_seed_30_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.10078792305649645,0.35186209151290476,0.0,0.0,5.9999999999420215,1,0.02586833582521745,0.2233129259793477,0.4142360267219672,0.4256533933227245
0.0001,0.5,31,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_31_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.07578678337751468,0.25307134322181835,1.1046294045919125,1.1112852621725664,353.9999998226322,1,0.06863286484390863,0.2405327365921886,1.0586031794005826,1.0657343063535183
0.0001,0.5,32,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_32_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.11150011975715989,0.37968234193778055,1.2196949675702362,1.2213612922238237,17.99999999948773,1,0.020463038928077566,0.18166096849350638,0.3682098015306375,0.35853514624266775
0.0001,0.5,33,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_0.5_seed_33_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.08840075591921527,0.3226606030581485,1.2657211927615657,1.2728117893674693,5.9999999999420215,1,0.012098849221212283,0.14440480642711523,0.2761573511479781,0.26484177604911047
0.0001,7.5,34,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_34_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.1467379497980614,0.34439766346410144,0.0,0.0,168.00000004212598,2,0.15188679375953473,0.3940864423796063,0.0,0.0
0.0001,7.5,35,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_35_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.1218236286327677,0.3930905614068369,0.0,0.0,5.9999999999420215,1,0.021556133115908156,0.195733099276404,0.3682098015306375,0.38318343945926603
0.0001,7.5,36,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_7.5_seed_36_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.1217531981423811,0.3968585028906497,0.0,0.0,5.9999999999420215,1,0.021327651929661608,0.19604159962860052,0.3682098015306375,0.38367245253488225
0.0001,2.0,37,0.4,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_37_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.09310265317445347,0.33916021314684697,0.0,0.0,5.9999999999420215,1,0.02158962238148758,0.19950221708665358,0.3682098015306375,0.3701500549561704
0.0001,2.0,38,0.2,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_38_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,2,0.11909318195556735,0.38532240512304183,0.0,0.0,11.999999999714875,1,0.022073946991376374,0.19023781373032603,0.3682098015306375,0.36449600198055065
0.0001,2.0,39,0.0,1e-05,1e-05,400.0,0.0,1.0,0.37,0.0,K_0.0001_int_curvature_CF_2.0_seed_39_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_400.0_add_MD_bool_0.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0/,399.9999997064933,1,0.17304480060780475,0.3976203311310293,1.9791276832271762,2.0384209382506375,389.9999997317409,1,0.1738909591416803,0.39771063512536575,1.9791276832271762,2.0362404754561183
