K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,t_CF,t_MD,folder_name
0.0001,0.5,42,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_42_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,43,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_43_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,44,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_44_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,45,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_45_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,46,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_46_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,47,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_47_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,48,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_48_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,49,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_49_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,50,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_50_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,51,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_51_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,52,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_52_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,53,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_53_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,54,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_54_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,55,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_55_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,56,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_56_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,57,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_57_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,58,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_58_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,59,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_59_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,60,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_60_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,61,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_61_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,62,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_62_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,63,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_63_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,64,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_64_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,65,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_65_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,66,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_66_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,67,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_67_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,2.0,68,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_68_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,69,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_69_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,70,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_70_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,2.0,71,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_71_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,72,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_72_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,73,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_73_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,74,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_74_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,75,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_75_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,76,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_76_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,77,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_77_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,78,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_78_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,79,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_79_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,80,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_80_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,5.0,81,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_5.0_seed_81_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,5.0,82,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_5.0_seed_82_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,83,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_83_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,84,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_84_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,85,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_85_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,86,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_86_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,87,0.0,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_0.5_seed_87_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,0.5,88,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_88_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,0.5,89,0.0,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_0.5_seed_89_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,90,0.2,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_90_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,91,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_91_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,92,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_92_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,93,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_93_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,94,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_94_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,95,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_95_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,96,0.4,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_96_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,97,0.4,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_97_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,98,0.35,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_98_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
0.0001,1.0,99,0.35,1e-05,1e-05,1000.0,1.0,0.0,0.0,K_0.0001_int_curvature_CF_1.0_seed_99_germ_band_push_0.35_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_0.0/
0.0001,1.0,100,0.2,1e-05,1e-05,1000.0,1.0,0.0,5.0,K_0.0001_int_curvature_CF_1.0_seed_100_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_t_CF_0.0_t_MD_5.0/
