K,germ_band_push,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_MD_bool,add_MD_bool_std,add_MD_bool_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy,t_at_maxBendEnergy_std,t_at_maxBendEnergy_max,nb_folds_at_maxBendEnergy,nb_folds_at_maxBendEnergy_std,nb_folds_at_maxBendEnergy_max,avg_depth_at_maxBendEnergy,avg_depth_at_maxBendEnergy_std,avg_depth_at_maxBendEnergy_max,max_depth_at_maxBendEnergy,max_depth_at_maxBendEnergy_std,max_depth_at_maxBendEnergy_max,CF_area_of_influence_ref_at_maxBendEnergy,CF_area_of_influence_ref_at_maxBendEnergy_std,CF_area_of_influence_ref_at_maxBendEnergy_max,CF_area_of_influence_current_at_maxBendEnergy,CF_area_of_influence_current_at_maxBendEnergy_std,CF_area_of_influence_current_at_maxBendEnergy_max
7e-05,0.05,817.65,480.252047312001,1608,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.2,0.41039134083406165,1,0.007588643954582711,0.01685202002057431,0.06247498947602114,0.034363212337844416,0.07314102922260964,0.25934555967846307,0,0.0,0,0,0.0,0,944.7499983311318,170.3207109847772,999.999998191639,0.2,0.41039134083406165,1,0.004171576540801621,0.006395378462004102,0.022600376851269845,0.02458226167188094,0.04416647292530934,0.15206783837069127,0,0.0,0,0,0.0,0
7e-05,0.1,826.2105263157895,482.12095980473714,1607,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.09199583785389236,0.01739577072070793,0.10814543627588775,0.35162053777534724,0.03812220489167381,0.3826414065084646,0,0.0,0,0,0.0,0,270.26315771233044,228.13539849237745,954.999998305253,1.0,0.0,1,0.020936328639509387,0.003615777556658547,0.026849716099991257,0.16592888449142096,0.017336887459560683,0.19120527626681272,0,0.0,0,0,0.0,0
7e-05,0.15,872.3529411764706,490.4271022762291,1606,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916391,0.0,999.999998191639,1.1764705882352942,0.3929526239966879,2,0.1165211058961825,0.00625889870249006,0.1239401832665321,0.3769932008865251,0.041310647325417775,0.39878121090532725,0,0.0,0,0,0.0,0,72.0588235410847,23.917751229841205,120.00000002689012,1.1764705882352942,0.3929526239966879,2,0.022645432011684095,0.0039026370790155272,0.03127313379954108,0.17610807780086193,0.01587424654730102,0.20135246988039515,0,0.0,0,0,0.0,0
7e-05,0.2,898.125,491.57351094893903,1605,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.999998191639,0.0,999.999998191639,1.125,0.3415650255319866,2,0.11771354294285145,0.009742607274685436,0.12914187628046522,0.38260428223488363,0.027561812182718488,0.39975443655044274,0,0.0,0,0,0.0,0,56.87500000751952,35.11291311469038,140.00000003323842,1.1875,0.4031128874149275,2,0.02328890590544711,0.008347046451692833,0.04134207110349463,0.18195703708839803,0.0333388536419182,0.24195624486693798,0,0.0,0,0,0.0,0
7e-05,0.25,887.7647058823529,470.74920730307196,1604,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916391,0.0,999.999998191639,1.1176470588235294,0.33210558207753577,2,0.1274047206972272,0.005944917556961432,0.13326987673503926,0.39020214667046504,0.005035448755999503,0.3965088825119448,0,0.0,0,0,0.0,0,26.764705882741858,13.221806855889275,65.00000000943237,1.2352941176470589,0.43723731609760313,2,0.020145513028971673,0.00462647365582274,0.03141482861170544,0.17258764869880222,0.029200534090501096,0.2368594638964884,0,0.0,0,0,0.0,0
7e-05,0.3,837.9473684210526,472.01794618474815,1603,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0526315789473684,0.22941573387056174,2,0.1273608427203194,0.007623426185589306,0.14393023067609703,0.3907854332167922,0.004566203934379479,0.39888042164470594,0,0.0,0,0,0.0,0,26.315789473829444,11.406882093490845,50.00000000467117,1.3157894736842106,0.47756693294091923,2,0.021588826354117758,0.009621710434279056,0.049623880430480154,0.1801107054140145,0.02763548741092086,0.2467761368003409,0,0.0,0,0,0.0,0
7e-05,0.35,848.2222222222222,484.1958227527803,1584,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916392,0.0,999.999998191639,1.1111111111111112,0.32338083338177737,2,0.1253168221374554,0.007992460515098688,0.13891074106390094,0.39306605265530165,0.005794483400722739,0.39975199714241333,0,0.0,0,0,0.0,0,20.83333333312828,9.432422183516682,45.0000000030841,1.3888888888888888,0.5016313257045503,2,0.021087546064453625,0.008279303507381965,0.034708756772046954,0.17241466401711214,0.025969022660956922,0.2238757313867843,0,0.0,0,0,0.0,0
7e-05,0.4,908.1875,489.92750739267547,1618,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.999998191639,0.0,999.999998191639,1.0625,0.25,2,0.11852293420847895,0.00890270110572175,0.13328495268030083,0.3954396353644477,0.0032356963078244653,0.3996638916531707,0,0.0,0,0,0.0,0,23.437500000369894,15.024285897488342,65.00000000943237,1.25,0.4472135954999579,2,0.0193809345708655,0.01073046213809014,0.04943701559468955,0.16870391606868818,0.031035020217434203,0.2416299257378703,0,0.0,0,0,0.0,0
8e-05,0.0,804.2631578947369,495.42763145760847,1555,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.0,0.0,0,0.005372126624716555,0.0013509412010479244,0.007619797626174831,0.01593777583955172,0.005171567865838904,0.02807810220834304,0,0.0,0,0,0.0,0,999.9999981916393,0.0,999.999998191639,0.0,0.0,0,0.005372126624716555,0.0013509412010479244,0.007619797626174831,0.01593777583955172,0.005171567865838904,0.02807810220834304,0,0.0,0,0,0.0,0
8e-05,0.05,841.0555555555555,493.46440031585354,1553,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,0.0,0.0,0.0,999.9999981916392,0.0,999.999998191639,0.05555555555555555,0.2357022603955158,1,0.004071452509836528,0.010386498972508418,0.04566211863513902,0.01840642951024346,0.050342687305971495,0.21959177729885185,0,0.0,0,0,0.0,0,986.6666648919693,56.568542352101964,999.999998191639,0.05555555555555555,0.2357022603955158,1,0.0028610396925471066,0.00525783434578713,0.023874687923929428,0.014724819474175501,0.03478291519528775,0.15332279664962853,0,0.0,0,0,0.0,0
