K,int_curvature_CF,seed,germ_band_push,noise_scale,dt,t_final,add_CF_bool,CF_position,t_CF,t_MD,path,t_at_final,nb_folds_at_final,avg_depth_at_final,max_depth_at_final,CF_area_of_influence_ref_at_final,CF_area_of_influence_current_at_final,t_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD
0.0001,2.0,223,0.0,1e-05,1e-05,1000.0,1.0,0.47,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_223_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.47_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.11465714065160176,0.3912940364045311,1.311747417952896,1.3115356343929725,29.99999999903344,1,0.024077458259438442,0.21485666492576247,0.4602622519132969,0.4529070806602186
0.0001,2.0,224,0.0,1e-05,1e-05,1000.0,1.0,0.6,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_224_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.6_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.10032770481631423,0.38669388694511686,1.1966818549745715,1.195357153250147,126.00000002879459,1,0.021519060615204595,0.20476096401091506,0.43724913931763204,0.4270920125736032
0.0001,2.0,225,0.0,1e-05,1e-05,1000.0,1.0,0.6,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_225_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.6_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10343889808282396,0.38484951331118017,1.2196949675702362,1.217750205457554,66.00000000974978,1,0.032275944727396214,0.25259078668071067,0.5523147022959563,0.5445129167061423
0.0001,2.0,226,0.0,1e-05,1e-05,1000.0,1.0,0.7,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_226_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.7_t_CF_0.0_t_MD_0.0/,999.999998191639,0,0.000600912561277126,0.0020065317633879425,0.0,0.0,999.999998191639,0,0.000600912561277126,0.0020065317633879425,0.0,0.0
0.0001,2.0,227,0.0,1e-05,1e-05,1000.0,1.0,0.7,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_227_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.7_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09313155713674859,0.37236450376048014,1.1966818549745715,1.1940211595459649,78.00000001355875,1,0.02974720357724037,0.2409219015914261,0.5062884771046265,0.4994848913771045
0.0001,2.0,228,0.0,1e-05,1e-05,1000.0,1.0,0.17,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_228_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_0.0/,999.999998191639,0,0.0005816008753831495,0.00218829668877975,0.0,0.0,999.999998191639,0,0.0005816008753831495,0.00218829668877975,0.0,0.0
0.0001,2.0,229,0.0,1e-05,1e-05,1000.0,1.0,0.8,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_229_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_0.0/,999.999998191639,0,0.0008972147275530137,0.005840253432002279,0.0,0.0,999.999998191639,0,0.0008972147275530137,0.005840253432002279,0.0,0.0
0.0001,2.0,230,0.0,1e-05,1e-05,1000.0,1.0,0.8,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_230_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_5.0/,999.999998191639,0,0.0006286334931352665,0.0036791855857066518,0.0,0.0,999.999998191639,0,0.0006286334931352665,0.0036791855857066518,0.0,0.0
0.0001,2.0,231,0.0,1e-05,1e-05,1000.0,1.0,0.9,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_231_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.9_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.0586390750543301,0.34859125705522914,0.0,0.0,899.9999984441147,1,0.02036697059218827,0.19611926432195254,0.0,0.0
0.0001,2.0,232,0.0,1e-05,1e-05,1000.0,1.0,0.9,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_232_germ_band_push_0.0_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.9_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10286365032745486,0.3997015024524612,0.0,0.0,329.99999988322634,1,0.022973255339908422,0.21103405035094028,0.0,0.0
0.0001,2.0,233,0.2,1e-05,1e-05,1000.0,1.0,0.17,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_233_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.11928527398515107,0.3907223747873089,0.0,0.0,66.00000000974978,1,0.01940652172602312,0.20265215500103786,0.0,0.0
0.0001,2.0,234,0.2,1e-05,1e-05,1000.0,1.0,0.17,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_234_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.0779071532602264,0.32313881727317684,1.1276425171875772,1.1306052162856453,5.9999999999420215,1,0.012229978402877416,0.1584672205712788,0.299170463743643,0.28553203884561307
0.0001,2.0,235,0.2,1e-05,1e-05,1000.0,1.0,0.27,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_235_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.11907893511809421,0.389111277726553,0.0,0.0,60.000000007845294,1,0.01852894034133156,0.19930305831229134,0.0,0.0
0.0001,2.0,236,0.2,1e-05,1e-05,1000.0,1.0,0.27,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_236_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.08803111975263546,0.3524922246778467,1.3577736431442256,1.3553041716029317,5.9999999999420215,1,0.013946042660397204,0.16754283004137727,0.32218357633930783,0.30609130054337963
0.0001,2.0,237,0.2,1e-05,1e-05,1000.0,1.0,0.37,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_237_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.12128712410785755,0.3963857036870593,1.4498260935268845,1.4497732311529707,72.00000001165427,1,0.01658062162821171,0.18568935685668111,0.0,0.0
0.0001,2.0,238,0.2,1e-05,1e-05,1000.0,1.0,0.37,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_238_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.37_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.10612949106799743,0.37877341901802425,1.4268129809312198,1.4265594249384448,5.9999999999420215,1,0.014101323695194592,0.16688875634982253,0.32218357633930783,0.30554759980464113
0.0001,2.0,239,0.2,1e-05,1e-05,1000.0,1.0,0.47,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_239_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.47_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.12105746935300679,0.3949517024108637,1.4728392061225501,1.4767470328286028,11.999999999714875,1,0.022023425981730557,0.2161647983716176,0.43724913931763204,0.43640167268066254
0.0001,2.0,240,0.4,1e-05,1e-05,1000.0,1.0,0.27,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_240_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.27_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.0949416388622511,0.340200899473454,0.0,0.0,132.00000003069908,1,0.018075619827077373,0.19684147548585812,0.0,0.0
0.0001,2.0,241,0.4,1e-05,1e-05,1000.0,1.0,0.17,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_241_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.07410002002950149,0.27658572275112264,1.242708080165901,1.2509878542856718,5.9999999999420215,1,0.022449442425937344,0.2090608930024591,0.4602622519132969,0.45582640107998695
0.0001,2.0,242,0.4,1e-05,1e-05,1000.0,1.0,0.17,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_242_germ_band_push_0.4_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.17_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.08022494328029647,0.30248080630124663,0.0,0.0,635.9999991106506,1,0.015698643124007882,0.18346207039834522,0.0,0.0
0.0001,2.0,243,0.2,1e-05,1e-05,1000.0,1.0,0.9,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_243_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.9_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09549131443834145,0.37523472732131086,1.150655629783242,1.1510564632807656,102.00000002117667,1,0.04825458692003484,0.31588004347373555,0.6903933778699454,0.6958868384604631
0.0001,2.0,244,0.2,1e-05,1e-05,1000.0,1.0,0.7,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_244_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.7_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.10725731466308877,0.3877176356276154,1.2657211927615657,1.2734546686665105,36.00000000022737,1,0.016018316613204638,0.18356199930984646,0.3682098015306375,0.36082148952196835
0.0001,2.0,245,0.2,1e-05,1e-05,1000.0,1.0,0.8,0.0,5.0,K_0.0001_int_curvature_CF_2.0_seed_245_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_5.0/,999.999998191639,1,0.09962305557704428,0.38174575263357224,1.1966818549745715,1.2002222867787662,60.000000007845294,1,0.047800253906326834,0.3055024632730978,0.7134064904656102,0.7128640734451543
0.0001,2.0,246,0.2,1e-05,1e-05,1000.0,1.0,0.8,0.0,0.0,K_0.0001_int_curvature_CF_2.0_seed_246_germ_band_push_0.2_noise_scale_1e-05_dt_1e-05_t_final_1000.0_add_CF_bool_1.0_CF_position_0.8_t_CF_0.0_t_MD_0.0/,999.999998191639,1,0.09697400937487823,0.3860596226564897,1.150655629783242,1.1539949061018588,29.99999999903344,1,0.01217479550527531,0.15357369552664052,0.299170463743643,0.28412284177741365
