K,germ_band_push,int_curvature_CF,CF_position,t_MD,seed,seed_std,seed_max,noise_scale,noise_scale_std,noise_scale_max,dt,dt_std,dt_max,t_final,t_final_std,t_final_max,add_CF_bool,add_CF_bool_std,add_CF_bool_max,t_CF,t_CF_std,t_CF_max,t_at_final,t_at_final_std,t_at_final_max,nb_folds_at_final,nb_folds_at_final_std,nb_folds_at_final_max,avg_depth_at_final,avg_depth_at_final_std,avg_depth_at_final_max,max_depth_at_final,max_depth_at_final_std,max_depth_at_final_max,CF_area_of_influence_ref_at_final,CF_area_of_influence_ref_at_final_std,CF_area_of_influence_ref_at_final_max,CF_area_of_influence_current_at_final,CF_area_of_influence_current_at_final_std,CF_area_of_influence_current_at_final_max,t_at_maxBendEnergy_afterMD,t_at_maxBendEnergy_afterMD_std,t_at_maxBendEnergy_afterMD_max,nb_folds_at_maxBendEnergy_afterMD,nb_folds_at_maxBendEnergy_afterMD_std,nb_folds_at_maxBendEnergy_afterMD_max,avg_depth_at_maxBendEnergy_afterMD,avg_depth_at_maxBendEnergy_afterMD_std,avg_depth_at_maxBendEnergy_afterMD_max,max_depth_at_maxBendEnergy_afterMD,max_depth_at_maxBendEnergy_afterMD_std,max_depth_at_maxBendEnergy_afterMD_max,CF_area_of_influence_ref_at_maxBendEnergy_afterMD,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_std,CF_area_of_influence_ref_at_maxBendEnergy_afterMD_max,CF_area_of_influence_current_at_maxBendEnergy_afterMD,CF_area_of_influence_current_at_maxBendEnergy_afterMD_std,CF_area_of_influence_current_at_maxBendEnergy_afterMD_max
0.0001,0.0,2.0,0.7,0.0,492.1,284.4902921292561,948,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.75,0.44426165831931924,1,0.07707596131267672,0.04656143454444911,0.1144240451961054,0.29572193673679326,0.1727754398055153,0.39866498947441636,0.49593257643657723,0.624485219935539,1.2887343053572313,0.4941714642247466,0.622254630626663,1.2856852426938388,482.49999935666074,370.97758400159955,999.999998191639,0.75,0.44426165831931924,1,0.01798424487583262,0.010670551694424097,0.029483734135818167,0.1620264675915324,0.09496169846118356,0.24363767776239506,0.02071180133609836,0.0926259914479738,0.4142360267219672,0.02007988069273797,0.08979995641809535,0.4015976138547594
0.0001,0.0,2.0,0.7,5.0,495.2,285.1683897740347,935,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.0938146525272829,0.0085669695361435,0.11522850431093874,0.37577907608436406,0.007427644283522987,0.3917271531829214,0.9389349939031252,0.48189491323808215,1.1966818549745715,0.9371686285751508,0.4809842583271052,1.198130324749591,71.10000001165281,20.162236723726092,102.00000002117667,1.2,0.41039134083406165,2,0.03056969331737543,0.00500102596030418,0.039143810852930845,0.23738453219638173,0.026226298697691296,0.2796307653860681,0.47407011947069566,0.1230037866571077,0.598340927487286,0.46623430812235445,0.12497212602684624,0.5915432743373802
0.0001,0.0,2.0,0.8,0.0,495.05,282.7704062160306,949,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.65,0.48936048492959294,1,0.055107355742354834,0.05001267996926081,0.11328355404433094,0.22792979331213647,0.1870805060840859,0.3999668987167637,0.06328605963807829,0.2830238627576976,1.2657211927615657,0.06329802200181309,0.2830773600746628,1.2659604400362618,667.4999989200275,385.21128777837373,999.999998191639,0.65,0.48936048492959294,1,0.014822149499513035,0.011863045785448221,0.030461298315847835,0.13391051814712693,0.10353398607704324,0.2487688828824299,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,2.0,0.8,5.0,495.55,282.9401043181736,950,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.95,0.22360679774997894,1,0.0797143589769342,0.022130737169952976,0.11234345463155691,0.34278443887487015,0.0811882652023091,0.39382160268488964,0.8066095964780529,0.47828796788710487,1.1276425171875772,0.8047838473433211,0.4771759560204411,1.1237773856892228,147.49999993017448,204.2412140603853,999.999998191639,1.1,0.44721359549995787,2,0.032965055197922644,0.010694596994612894,0.045308110033770645,0.24641867605450973,0.06902073391474188,0.3061358733557453,0.451057006875031,0.2509212552101473,0.6673802652742805,0.44659566866547895,0.24933007545740318,0.6621999344246241
0.0001,0.0,2.0,0.9,0.0,496.55,283.7021186125743,951,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.7,0.47016234598162726,1,0.06862600115120136,0.04783601988706439,0.11513624241477736,0.2740567500952909,0.18195734813696895,0.39935110124112494,0.0,0.0,0.0,0.0,0.0,0.0,579.2999991472229,378.20199200042197,999.999998191639,0.7,0.47016234598162726,1,0.01690410038357892,0.011162191747934624,0.0292826519044747,0.15175961926661147,0.10054597572199774,0.24337606830375144,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.0,2.0,0.9,5.0,497.65,283.6417820532014,952,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,0.75,0.44426165831931924,1,0.0784567132345843,0.04671624385328853,0.11405809824356063,0.29626852416338795,0.17367709644810106,0.3997015024524612,0.0,0.0,0.0,0.0,0.0,0.0,468.69999941466614,361.8416482175843,999.999998191639,0.75,0.44426165831931924,1,0.018771139661621618,0.0112360875898667,0.03079169854745405,0.16640988162184076,0.09824543284652647,0.24972827092504768,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.2,2.0,0.17,0.0,497.75,283.5882625067175,953,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11678402655888154,0.00478202430225276,0.12174083982669007,0.3927736806260518,0.002689141280604149,0.3973356576626347,0.0,0.0,0.0,0.0,0.0,0.0,166.1999999198742,170.9304565253129,659.9999990500564,1.0,0.0,1,0.01884115132073574,0.003672119548485443,0.028434928824000182,0.19940059557134782,0.021009057566039324,0.24820949224797517,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.2,2.0,0.17,5.0,498.25,284.2546810242718,954,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.1,0.3077935056255463,2,0.08031615315918969,0.007525878479560146,0.10968126393599877,0.32229073900119254,0.007761454694783715,0.3326006916935225,1.1207385834088779,0.024875685020733868,1.1736687423789067,1.12543517285759,0.025441146790031875,1.1802004935445325,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.01247002014665891,0.00023158850654621659,0.01284634675030367,0.16043361737740647,0.0016095141536581518,0.16291891712675324,0.29917046374364287,0.0,0.299170463743643,0.2880195886740357,0.0016675889062987984,0.29088418385612425
0.0001,0.2,2.0,0.27,0.0,498.55,284.08587934303466,955,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.11476443782513501,0.009015439450061634,0.12347042731734503,0.3911834831547093,0.002813023960367708,0.3964113122142242,0.3210329207095245,0.5779851430275647,1.4498260935268845,0.32068516523087415,0.5773107744945426,1.4482534645308578,206.39999991625623,197.9033253693004,881.9999984895602,1.0,0.0,1,0.01800501946233578,0.003524916329342307,0.025288698223194673,0.19440849959122336,0.021237205901770112,0.23296979257557235,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.2,2.0,0.27,5.0,499.05,284.18868361484215,956,1e-05,0.0,1e-05,1e-05,0.0,1e-05,1000.0,0.0,1000.0,1.0,0.0,1.0,0.0,0.0,0.0,999.9999981916393,0.0,999.999998191639,1.0,0.0,1,0.08557517819132372,0.0018967894421030999,0.08948433487938307,0.3485342796492042,0.003609532251253595,0.3572215347919976,1.3497190537357426,0.020138636291581934,1.3807867557398903,1.3502706168742138,0.020329796642776607,1.3834721003756931,5.999999999942021,0.0,5.9999999999420215,1.0,0.0,1,0.014010269673103,0.0003146845636453454,0.014539537679352899,0.16720346326430646,0.0018573905459530725,0.170626431469104,0.323334231969091,0.005145888413776339,0.3451966889349727,0.30768835931846394,0.004755225656075456,0.32690356200088705
